"gender,event,medal,athlete,abb,country,type,year"
"Men,Double FITA Round Amputee,Gold,LARSEN Finn,DEN,Unknown,Archery,1980"
"Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,Unknown,Archery,1980"
"Men,Double FITA Round Amputee,Bronze,SATO Masao,JPN,Unknown,Archery,1980"
"Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,Unknown,Archery,1980"
"Men,Double FITA Round Paraplegic,Silver,GRUN Guy,BEL,Unknown,Archery,1980"
"Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,Unknown,Archery,1980"
"Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,Unknown,Archery,1980"
"Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,Unknown,Archery,1980"
"Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,Unknown,Archery,1980"
"Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,Unknown,Archery,1980"
"Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,Unknown,Archery,1980"
"Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,Unknown,Archery,1980"
"Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,Unknown,Archery,1980"
"Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,Unknown,Archery,1980"
"Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Unknown,Archery,1980"
"Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,Unknown,Archery,1980"
"Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,Unknown,Archery,1980"
"Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,Unknown,Archery,1980"
"Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,Unknown,Archery,1980"
"Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Unknown,Archery,1980"
"Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,Unknown,Archery,1980"
"Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,Unknown,Archery,1980"
"Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,Unknown,Archery,1980"
"Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,Unknown,Archery,1980"
"Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,Unknown,Archery,1980"
"Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,Unknown,Archery,1980"
"Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,Unknown,Archery,1980"
"Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,Unknown,Archery,1980"
"Women,Double FITA Round Paraplegic,Silver,KORVA Elli,FIN,Unknown,Archery,1980"
"Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,Unknown,Archery,1980"
"Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,Unknown,Archery,1980"
"Women,Double FITA Round Novice Paraplegic,Silver,-,,Unknown,Archery,1980"
"Women,Double FITA Round Novice Paraplegic,Bronze,-,,Unknown,Archery,1980"
"Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,Unknown,Archery,1980"
"Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,Unknown,Archery,1980"
"Women,Short Metric Round Paraplegic,Bronze,-,,Unknown,Archery,1980"
"Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,Unknown,Archery,1980"
"Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,NZL,Unknown,Archery,1980"
"Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,Unknown,Archery,1980"
"Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,FRG,FR Germany,Archery,1980"
"Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,FR Germany,Archery,1980"
"Men,Double FITA Round Team Amputee,Gold,POHL K.,FRG,FR Germany,Archery,1980"
"Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,Archery,1980"
"Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,Archery,1980"
"Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,Archery,1980"
"Men,Double FITA Round Team Amputee,Bronze,Anonymous,,-,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Gold,GRUN Guy,BEL,Belgium,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Gold,MEYSEN Jozef,BEL,Belgium,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,Archery,1980"
"Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,FR Germany,Archery,1980"
"Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,Unknown,Archery,1984"
"Men,Double FITA Round C1-C2,Silver,-,,Unknown,Archery,1984"
"Men,Double FITA Round C1-C2,Bronze,-,,Unknown,Archery,1984"
"Men,""Double FITA Round C3,C6"",Gold,THORNE Philip,GBR,Unknown,Archery,1984"
"Men,""Double FITA Round C3,C6"",Silver,-,,Unknown,Archery,1984"
"Men,""Double FITA Round C3,C6"",Bronze,-,,Unknown,Archery,1984"
"Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,NOR,Unknown,Archery,1984"
"Men,Double FITA Round Div. 3,Silver,KUYS Alfons,BEL,Unknown,Archery,1984"
"Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,FRA,Unknown,Archery,1984"
"Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,Unknown,Archery,1984"
"Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,ESP,Unknown,Archery,1984"
"Men,Double FITA Round Integrated,Bronze,TIRRONEN Raimo,FIN,Unknown,Archery,1984"
"Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,Unknown,Archery,1984"
"Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NED,Unknown,Archery,1984"
"Men,Double FITA Round Paraplegic,Bronze,LAUKKANEN Heikki,FIN,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NED,Unknown,Archery,1984"
"Men,Double FITA Round Tetraplegic,Bronze,STEBEKK Oddbjorn,NOR,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,SUI,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,KOR,Unknown,Archery,1984"
"Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,ITA,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Silver,-,,Unknown,Archery,1984"
"Men,Double Short Metric Round Tetraplegic,Bronze,-,,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Unknown,Archery,1984"
"Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,GBR,Unknown,Archery,1984"
"Women,Double FITA Round Div. 3,Bronze,-,,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,FRG,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Silver,LACOMBLEZ Martine,BEL,Unknown,Archery,1984"
"Women,Double FITA Round Integrated,Bronze,MONACO Irene,ITA,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Silver,SUZUKI Hifumi,JPN,Unknown,Archery,1984"
"Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,AUS,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,AUT,Unknown,Archery,1984"
"Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,Unknown,Archery,1984"
"Men,Double FITA Round Team 1A-6,Gold,Anonymous,BEL,Belgium,Archery,1984"
"Men,Double FITA Round Team 1A-6,Silver,Anonymous,NED,Netherlands,Archery,1984"
"Men,Double FITA Round Team 1A-6,Bronze,Anonymous,GBR,Great Britain,Archery,1984"
"Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,Archery,1984"
"Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,HAMART George,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Silver,LELON Daniel,FRA,France,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,FRG,FR Germany,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,FRG,FR Germany,Archery,1984"
"Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,FR Germany,Archery,1984"
